iter	Passed	Remaining
518	224	207
519	224	207
520	224	206
521	224	205
522	225	205
523	225	204
524	225	204
525	225	203
526	226	202
527	226	202
528	226	201
529	226	201
530	227	200
531	227	200
532	227	199
533	228	199
534	228	198
535	228	197
536	228	197
537	229	196
538	229	196
539	229	195
540	229	195
541	230	194
542	230	193
543	230	193
544	231	192
545	231	192
546	231	191
547	231	191
548	232	190
549	232	190
550	232	189
551	232	188
552	233	188
553	233	187
554	233	187
555	233	186
556	234	186
557	234	185
558	234	185
559	234	184
560	235	183
561	235	183
562	235	182
563	235	182
564	236	181
565	236	181
566	236	180
567	236	180
568	237	179
569	237	179
570	237	178
571	237	178
572	238	177
573	238	176
574	238	176
575	238	175
576	239	175
577	239	174
578	239	174
579	240	173
580	240	173
581	240	172
582	240	172
583	240	171
584	241	171
585	241	170
586	241	170
587	241	169
588	242	169
589	242	168
590	242	167
591	243	167
592	243	167
593	243	166
594	243	166
595	244	165
596	244	165
597	244	164
598	244	163
599	245	163
600	245	162
601	245	162
602	246	161
603	246	161
604	246	160
605	246	160
606	247	159
607	247	159
608	247	158
609	247	158
610	248	157
611	248	157
612	248	156
613	248	156
614	249	155
615	249	155
616	249	154
617	249	154
618	250	153
619	250	153
620	250	153
621	250	152
622	251	152
623	251	151
624	251	151
625	251	150
626	252	150
627	252	149
628	252	149
629	253	148
630	253	148
631	253	147
632	253	147
633	253	146
634	254	146
635	254	145
636	254	145
637	254	144
638	255	144
639	255	143
640	255	143
641	255	142
642	256	142
643	256	141
644	256	141
645	256	140
646	257	140
647	257	139
648	257	139
649	257	138
650	258	138
651	258	137
652	258	137
653	259	137
654	259	136
655	259	136
656	259	135
657	260	135
658	260	134
659	260	134
660	260	133
661	261	133
662	261	132
663	261	132
664	261	131
665	262	131
666	262	131
667	262	130
668	263	130
669	263	129
670	263	129
671	263	128
672	264	128
673	264	127
674	264	127
675	264	126
676	265	126
677	265	126
678	265	125
679	265	125
680	266	124
681	266	124
682	266	123
683	266	123
684	267	122
685	267	122
686	267	121
687	267	121
688	268	121
689	268	120
690	268	120
691	268	119
692	269	119
693	269	118
694	269	118
695	269	117
696	270	117
697	270	117
698	270	116
699	270	116
700	271	115
701	271	115
702	271	114
703	272	114
704	272	113
705	272	113
706	272	113
707	273	112
708	273	112
709	273	111
710	273	111
711	274	110
712	274	110
713	274	110
714	274	109
715	275	109
716	275	108
717	275	108
718	276	107
719	276	107
720	276	107
721	276	106
722	277	106
723	277	105
724	277	105
725	277	104
726	278	104
727	278	103
728	278	103
729	278	103
730	279	102
731	279	102
732	279	101
733	279	101
734	280	100
735	280	100
736	280	100
737	280	99
738	281	99
739	281	98
740	281	98
741	281	98
742	282	97
743	282	97
744	282	96
745	282	96
746	283	95
747	283	95
748	283	95
749	283	94
750	284	94
751	284	93
752	284	93
753	284	92
754	285	92
755	285	92
756	285	91
757	286	91
758	286	90
759	286	90
760	286	90
761	287	89
762	287	89
763	287	88
764	287	88
765	288	88
766	288	87
767	288	87
768	289	86
769	289	86
770	289	86
771	289	85
772	290	85
773	290	84
774	290	84
775	291	84
776	291	83
777	291	83
778	291	82
779	292	82
780	292	81
781	292	81
782	292	81
783	293	80
784	293	80
785	293	79
786	293	79
787	294	79
788	294	78
789	294	78
790	294	77
791	295	77
792	295	77
793	295	76
794	295	76
795	296	75
796	296	75
797	296	75
798	296	74
799	297	74
800	297	73
801	297	73
802	297	73
803	298	72
804	298	72
805	298	71
806	299	71
807	299	71
808	299	70
809	299	70
810	300	69
811	300	69
812	300	69
813	300	68
814	301	68
815	301	67
816	301	67
817	302	67
818	302	66
819	302	66
820	302	66
821	303	65
822	303	65
823	303	64
824	303	64
825	304	64
826	304	63
827	304	63
828	304	62
829	305	62
830	305	62
831	305	61
832	305	61
833	306	60
834	306	60
835	306	60
836	307	59
837	307	59
838	307	59
839	307	58
840	308	58
841	308	57
842	308	57
843	308	57
844	309	56
845	309	56
846	309	55
847	309	55
848	310	55
849	310	54
850	310	54
851	310	54
852	311	53
853	311	53
854	311	52
855	311	52
856	312	52
857	312	51
858	312	51
859	312	50
860	313	50
861	313	50
862	313	49
863	314	49
864	314	49
865	314	48
866	314	48
867	315	47
868	315	47
869	315	47
870	315	46
871	316	46
872	316	46
873	316	45
874	316	45
875	317	44
876	317	44
877	317	44
878	317	43
879	318	43
880	318	43
881	318	42
882	318	42
883	319	41
884	319	41
885	319	41
886	319	40
887	320	40
888	320	40
889	320	39
890	320	39
891	321	38
892	321	38
893	321	38
894	322	37
895	322	37
896	322	37
897	322	36
898	323	36
899	323	35
900	323	35
901	323	35
902	324	34
903	324	34
904	324	34
905	324	33
906	325	33
907	325	32
908	325	32
909	326	32
910	326	31
911	326	31
912	326	31
913	327	30
914	327	30
915	327	30
916	327	29
917	328	29
918	328	28
919	328	28
920	328	28
921	329	27
922	329	27
923	329	27
924	329	26
925	330	26
926	330	26
927	330	25
928	330	25
929	331	24
930	331	24
931	331	24
932	331	23
933	332	23
934	332	23
935	332	22
936	332	22
937	333	22
938	333	21
939	333	21
940	333	20
941	334	20
942	334	20
943	334	19
944	334	19
945	335	19
946	335	18
947	335	18
948	335	18
949	336	17
950	336	17
951	336	16
952	336	16
953	337	16
954	337	15
955	337	15
956	337	15
957	338	14
958	338	14
959	338	14
960	339	13
961	339	13
962	339	13
963	339	12
964	340	12
965	340	11
966	340	11
967	340	11
968	341	10
969	341	10
970	341	10
971	341	9
972	342	9
973	342	9
974	342	8
975	343	8
976	343	8
977	343	7
978	343	7
979	344	7
980	344	6
981	344	6
982	344	5
983	345	5
984	345	5
985	345	4
986	345	4
987	346	4
988	346	3
989	346	3
990	346	3
991	347	2
992	347	2
993	347	2
994	347	1
995	348	1
996	348	1
997	348	0
998	348	0
999	349	0
